field_1,Beheertype,Ned_naam_NDFF,Wet_naam_NDFF_oud,Wet_naam_NDFF_nieuw,ndff_taxon_uri_oud,ndff_taxon_uri_nieuw,Gewijzigd,Unnamed: 0,ned_naam,wet_naam,identity,group_identity,ned_soortgroep,wet_soortgroep
"527",N06.01,groentje,Callophrys rubi,Callophrys rubi,http://ndff-ecogrid.nl/taxonomy/taxa/callophrysrubi,http://ndff-ecogrid.nl/taxonomy/taxa/callophrysrubi,NEE,"12388.0",Groentje,Callophrys rubi,http://ndff-ecogrid.nl/taxonomy/taxa/callophrysrubi,http://ndff-ecogrid.nl/categories/specieslist/butterflies,dagvlinders,butterflies
"528",N06.01,grote vuurvlinder,Lycaena dispar,Lycaena dispar,http://ndff-ecogrid.nl/taxonomy/taxa/lycaenadispar,http://ndff-ecogrid.nl/taxonomy/taxa/lycaenadispar,NEE,"46692.0",Grote vuurvlinder,Lycaena dispar,http://ndff-ecogrid.nl/taxonomy/taxa/lycaenadispar,http://ndff-ecogrid.nl/categories/specieslist/butterflies,dagvlinders,butterflies
"529",N06.01,Hoogveenveenmos,Sphagnum magellanicum,Sphagnum magellanicum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnummagellanicum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnummagellanicum,NEE,"75236.0",Hoogveenveenmos,Sphagnum magellanicum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnummagellanicum,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
"530",N06.01,Kamvaren,Dryopteris cristata,Dryopteris cristata,http://ndff-ecogrid.nl/taxonomy/taxa/dryopteriscristata,http://ndff-ecogrid.nl/taxonomy/taxa/dryopteriscristata,NEE,"27080.0",Kamvaren,Dryopteris cristata,http://ndff-ecogrid.nl/taxonomy/taxa/dryopteriscristata,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"531",N06.01,Kleine valeriaan,Valeriana dioica,Valeriana dioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,NEE,"84599.0",Kleine valeriaan,Valeriana dioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"532",N06.01,Kleine veenbes,Vaccinium oxycoccos,Vaccinium oxycoccos,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumoxycoccos,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumoxycoccos,NEE,"84567.0",Kleine veenbes,Vaccinium oxycoccos,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumoxycoccos,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"533",N06.01,Klokjesgentiaan,Gentiana pneumonanthe,Gentiana pneumonanthe,http://ndff-ecogrid.nl/taxonomy/taxa/gentianapneumonanthe,http://ndff-ecogrid.nl/taxonomy/taxa/gentianapneumonanthe,NEE,"34175.0",Klokjesgentiaan,Gentiana pneumonanthe,http://ndff-ecogrid.nl/taxonomy/taxa/gentianapneumonanthe,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"534",N06.01,Koningsvaren,Osmunda regalis,Osmunda regalis,http://ndff-ecogrid.nl/taxonomy/taxa/osmundaregalis,http://ndff-ecogrid.nl/taxonomy/taxa/osmundaregalis,NEE,"57380.0",Koningsvaren,Osmunda regalis,http://ndff-ecogrid.nl/taxonomy/taxa/osmundaregalis,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"535",N06.01,Kraaihei,Empetrum nigrum,Empetrum nigrum,http://ndff-ecogrid.nl/taxonomy/taxa/empetrumnigrum,http://ndff-ecogrid.nl/taxonomy/taxa/empetrumnigrum,NEE,"28288.0",Kraaihei,Empetrum nigrum,http://ndff-ecogrid.nl/taxonomy/taxa/empetrumnigrum,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"536",N06.01,Lavendelhei,Andromeda polifolia,Andromeda polifolia,http://ndff-ecogrid.nl/taxonomy/taxa/andromedapolifolia,http://ndff-ecogrid.nl/taxonomy/taxa/andromedapolifolia,NEE,"4539.0",Lavendelhei,Andromeda polifolia,http://ndff-ecogrid.nl/taxonomy/taxa/andromedapolifolia,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"537",N06.01,Moerasgaffeltandmos,Dicranum bonjeanii,Dicranum bonjeanii,http://ndff-ecogrid.nl/taxonomy/taxa/dicranumbonjeanii,http://ndff-ecogrid.nl/taxonomy/taxa/dicranumbonjeanii,NEE,"25193.0",Moerasgaffeltandmos,Dicranum bonjeanii,http://ndff-ecogrid.nl/taxonomy/taxa/dicranumbonjeanii,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
"538",N06.01,Moeraskartelblad,Pedicularis palustris,Pedicularis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,NEE,"59533.0",Moeraskartelblad,Pedicularis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"539",N06.01,Rietorchis,Dactylorhiza majalis subsp. praetermissa,Dactylorhiza praetermissa,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizamajalissubsppraetermissa,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizapraetermissa,JA,"23604.0",Rietorchis,Dactylorhiza praetermissa,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizapraetermissa,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"540",N06.01,Rode bosbes,Vaccinium vitis-idaea,Vaccinium vitis-idaea,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumvitisidaea,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumvitisidaea,NEE,"84570.0",Rode bosbes,Vaccinium vitis-idaea,http://ndff-ecogrid.nl/taxonomy/taxa/vacciniumvitisidaea,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"541",N06.01,Ronde zonnedauw,Drosera rotundifolia,Drosera rotundifolia,http://ndff-ecogrid.nl/taxonomy/taxa/droserarotundifolia,http://ndff-ecogrid.nl/taxonomy/taxa/droserarotundifolia,NEE,"26942.0",Ronde zonnedauw,Drosera rotundifolia,http://ndff-ecogrid.nl/taxonomy/taxa/droserarotundifolia,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
